Year (year),Report Period (quarter),State Name (state_name),Age Group (age_group),Gender (gender),Unemployment Rate (value),State Code (state_code)
"2019","April-June","Maharashtra","15-29 Years","Person","17.1","27"
"2019","October-December","Rajasthan","15-29 Years","Person","25.7","08"
"2019","January-March","Telangana","15-29 Years","Female","37.1","36"
"2023","July-September","Andhra Pradesh","15-29 Years","Person","21.5","28"
"2020","April-June","West Bengal","All","Female","12.0","19"
"2024","January-March","Gujarat","15-29 Years","Female","10.9","24"
"2018","October-December","Bihar","All","Female","13.9","10"
"2019","January-March","Punjab","15-29 Years","Person","17.3","03"
"2023","October-December","West Bengal","All","Person","5.3","19"
"2018","October-December","Jammu And Kashmir","All","Person","13.5","01"
"2024","January-March","Punjab","15 Years And Above","Male","6.8","03"
"2022","January-March","Uttarakhand","All","Female","17.4","05"
"2023","April-June","Andhra Pradesh","15-29 Years","Male","21.1","28"
"2023","October-December","Odisha","All","Male","6.1","21"
"2018","July-September","Jharkhand","15 Years And Above","Person","11.8","20"
"2018","July-September","Karnataka","All","Female","7.4","29"
"2021","July-September","Andhra Pradesh","15-29 Years","Female","24.7","28"
"2018","October-December","Punjab","All","Person","7.0","03"
"2019","January-March","Assam","All","Female","13.7","18"
"2023","July-September","Madhya Pradesh","15-29 Years","Person","14.6","23"
"2019","October-December","Andhra Pradesh","15 Years And Above","Male","8.4","28"
"2019","April-June","Uttarakhand","15 Years And Above","Female","25.2","05"
"2018","July-September","Madhya Pradesh","15-29 Years","Person","24.7","23"
"2019","January-March","Jammu And Kashmir","All","Male","7.5","01"
"2024","January-March","Delhi","All","Male","1.8","07"
"2021","October-December","Chhattisgarh","15 Years And Above","Male","10.9","22"
"2023","October-December","Tamil Nadu","15 Years And Above","Person","6.7","33"
"2020","July-September","Madhya Pradesh","15 Years And Above","Female","12.2","23"
"2021","October-December","Jharkhand","15-29 Years","Male","18.5","20"
"2019","January-March","Jammu And Kashmir","15-29 Years","Female","60.8","01"
"2020","April-June","Rajasthan","15-29 Years","Person","40.6","08"
"2021","October-December","Uttar Pradesh","All","Male","8.8","09"
"2022","October-December","Chhattisgarh","15-29 Years","Female","33.0","22"
"2022","January-March","Tamil Nadu","All","Male","8.0","33"
"2023","January-March","Uttar Pradesh","15-29 Years","Female","22.0","09"
"2019","July-September","Himachal Pradesh","All","Male","9.1","02"
"2023","July-September","Bihar","All","Person","6.9","10"
"2019","October-December","Karnataka","15 Years And Above","Male","3.8","29"
"2023","October-December","Odisha","15 Years And Above","Female","9.8","21"
"2023","October-December","Bihar","15 Years And Above","Female","8.3","10"
"2023","October-December","Chhattisgarh","15-29 Years","Female","30.2","22"
"2018","October-December","Assam","15-29 Years","Male","18.5","18"
"2019","April-June","Maharashtra","15-29 Years","Female","23.3","27"
"2022","January-March","Uttar Pradesh","15 Years And Above","Person","8.9","09"
"2020","October-December","Uttarakhand","15-29 Years","Female","34.6","05"
"2022","January-March","Maharashtra","All","Female","8.2","27"
